ComplaintType;Complaint;Date;Decision;Report_name
Harassment of Newsmen;Complaint of Ms. Priyanka Borpujari, Independent Journalist & Member, Mumbai Press Club, Mumbai against Mumbai Police. ;21-09-2020;Disposed of being sub-judice;AnnualReport2021
Harassment of Newsmen;Complaint of Shri Sudhir Dikshit, Bureau Chief, Dainik Yuva Hastakshar, Pilibheet against Shri Nareshpal Singh, Shri Manoj Sonekar, Shri Vaibhav Srivastav, Pilibheet, U.P. ;22-01-2021;Disposed of with directions to police for fair investigation;AnnualReport2021
Harassment of Newsmen;Complaint of Shri Om Prakash Baghel, Editor of Duniya Ek Nazar Mein, Aligarh against Police Authorities, U.P. ;22-01-2021;Dismissed – Devoid of merits;AnnualReport2021
Harassment of Newsmen;Complaint of Shri Shah Aalam, Correspondent, Dainik Shah Times, Muzzafarnagar, UP against Nagar Panchayat, Charthawal, Muzaffarnagar, UP. ;22-01-2021;withdrawn;AnnualReport2021
Harassment of Newsmen;Complaint of Shri Mahendra Singh, Editor, Weekly Kisauli Times, Bulandshahr, U.P. against Police Authorities. ;22-01-2021;Disposed of being sub-judice;AnnualReport2021
Harassment of Newsmen;Complaint of Shri Roop Kishor Rajput, Photo Journalist, Hiteshi Ki Jung, Aligarh, Uttar Pradesh against Maa Bhagwati Medical Store. ;22-01-2021;Disposed of with observations;AnnualReport2021
Facilities to the Press;Complaint of Shri Rakesh Kathuriya, District Correspondent, Divya Himachal, Kangra, Himachal Pradesh against District Public Relations Officer, Kangra, Himachal Pradesh. (13/5/19- 20-PCI;21-09-2020;Disposed of with direction to State Government;AnnualReport2021
Facilities to the Press;Complaint of Shri D.D. Mittal, National Organisation, Secretary General, All India Small Newspapers Association, Uttarakhand against Information & Public Relations Department, Government of Uttarakhand. ;21-09-2020;Dismissed for being outside Council’s Charter (Electronic Media);AnnualReport2021
Facilities to the Press;Representation received from the Telangana State Union & working Journalist against Commissioner, Information and Public Relations, Government of Telangana. ;21-09-2020;Disposed of on assurance given by the State Government;AnnualReport2021
Facilities to the Press;Complaint of Shri Ratheesh K.V., Publisher, Yuva Darsanam, Pathanamthitta, Kerala against the Registrar of Newspapers for India (RNI), New Delhi. ;21-09-2020;Matter settled;AnnualReport2021
Facilities to the Press;Complaint of Shri Pitabasa Mishra, Editor/Publisher, Utkal Mail, Oriya Daily, Rourkela, Odisha against the Information & Public Relations Department, Govt. of Odisha, Bhubaneswar, Odisha. ;21-09-2020;Disposed of on assurance by the State Government;AnnualReport2021
